Date,Amount,Module,Dr/CR,Account,"GL A/C","Contra Account","Transaction Code","Batch No",Reference,Description,"Product Code",Quantity,Source,"Account Name"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(224.25)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(400.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(477.72)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(388.66)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(100.45)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(298.20)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(279.09)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(381.38)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(289.06)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(324.82)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(857.10)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(330.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(1,500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(913.90)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(385.71)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(295.07)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(388.04)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(441.98)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(198.14)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(553.33)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(357.60)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(318.17)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(316.16)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(318.43)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(400.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(282.54)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(200.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(136.60)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(400.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(349.85)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(1,000.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(388.35)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(273.01)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(400.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(750.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(888.47)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(555.88)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(242.87)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(289.21)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(330.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(100.71)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(410.01)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(181.70)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(302.82)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(347.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(600.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(350.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(334.41)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(294.06)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(179.73)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(620.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(233.58)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.16)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(1,800.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(224.43)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(330.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(500.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(300.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(650.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(302.35)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(149.68)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(250.00)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
,"(676.46)",,,,,,,,,"CHECKS PAID",,0.0,,"PRUDENTIAL LIFE ASSURANCE ZM LTD"
